,Date,User,Tweet
51,2019-03-10 16:46:16+00:00,ironorehopper,"Two New #MERS #Coronavirus Cases reported by #Saudi Arabia (MoH, March 10 '19) https://t.co/Y5lUdcUnJ3"
52,2019-03-10 16:20:00+00:00,MicrobesInfect,"Oman reports 8 more #MERS-CoV cases, some of which - including 2 fatalities - are part of a 2nd illness cluster &amp; others apparently part of an earlier cluster.

Saudi Arabian, meanwhile, reported 4 new MERS-CoV cases, 3 of them in Riyadh.

https://t.co/Md63aoCMSN #coronavirus https://t.co/WEkM3SDaBY"
53,2019-03-10 10:14:32+00:00,ironorehopper,"#MERS #Coronavirus, #Situation #Update, February 2019 (@WHO EMRO, Mar. 10 ‘19) https://t.co/prSnltqpOI on @bloglovin"
54,2019-03-10 09:49:16+00:00,ironorehopper,"#MERS #Coronavirus, #Situation #Update, February 2019 (@WHO EMRO, Mar. 10 ‘19) https://t.co/jdsd77PdSM"
55,2019-03-09 17:05:31+00:00,ironorehopper,"Two New #MERS #Coronavirus Cases reported by #Saudi Arabia (MoH, March 9 '19). https://t.co/TzQAI3tTvl on @bloglovin"
56,2019-03-09 16:03:09+00:00,ironorehopper,"Two New #MERS #Coronavirus Cases reported by #Saudi Arabia (MoH, March 9 '19). https://t.co/J4FsE0VNOc"
57,2019-03-08 16:40:32+00:00,ironorehopper,"One New #MERS #Coronavirus Case reported by #Saudi Arabia (MoH, March 8 '19) https://t.co/4FgY5dTBDC on @bloglovin"
58,2019-03-08 15:52:20+00:00,ironorehopper,"One New #MERS #Coronavirus Case reported by #Saudi Arabia (MoH, March 8 '19) https://t.co/pgICdkVvUZ"
59,2019-03-07 20:32:35+00:00,SmallRedOne,We’re now testing routinely for seasonal human coronaviruses in Wales and seem to be seeing higher numbers this season than I expected. Is this normal? #coronavirus #respiratoryviruses @ESCVirology
60,2019-03-07 16:14:08+00:00,ironorehopper,"Two New #MERS #Coronavirus Cases reported by #Saudi Arabia (MoH, March 7 '19) https://t.co/0KGtRL58wc on @bloglovin"
61,2019-03-07 15:55:38+00:00,ironorehopper,"Two New #MERS #Coronavirus Cases reported by #Saudi Arabia (MoH, March 7 '19) https://t.co/ZNGf4RatcN"
62,2019-03-06 17:32:08+00:00,ironorehopper,Efficacy of an Adjuvanted #MERS #Coronavirus Spike Protein #Vaccine in... https://t.co/cKhsMJrXRS on @bloglovin
63,2019-03-06 17:17:02+00:00,ironorehopper,"Efficacy of an Adjuvanted #MERS #Coronavirus Spike Protein #Vaccine in Dromedary #Camels and #Alpacas (Viruses, abstract) https://t.co/AiGZQREc7E"
